name,id
Bootcut Denim,bootcut-jeans
Classic Denim,classic-jeans
Skinny Denim,skinny-jeans
Straight Denim,straight-leg-jeans
Stretch Denim,stretch-jeans
Day Dresses,day-dresses
Blazers,blazers
Casual Jackets,casual-jackets
Coats,coats
Raincoats & Trenchcoats,raincoats-and-trenchcoats
Wool Coats,wool-coats
Casual Pants,casual-pants
Dress Pants,dress-pants
Skinny Pants,skinny-pants
Mid-length Skirts,mid-length-skirts
Long Skirts,long-skirts
Suits,womens-suits
Cardigans,cardigan-sweaters
Cashmere Sweaters,cashmere-sweaters
Crewnecks & Scoopnecks,crewneck-sweaters
Turtlenecks,turleneck-sweaters
V-Neck Sweaters,v-neck-sweaters
Button Front Tops,button-front-tops
Cashmere Tops,cashmere-tops
Longsleeve Tops,longsleeve-tops
Shortsleeve Tops,shortsleeve-tops
Polos,polo-tops
Flats,flats
Pumps,pumps
