name,id
7 For All Mankind,3
ABS by Allen Schwartz,5
AG Jeans,6
AK Anne Klein,7
Accessory Network,13
adidas,14
Adrianna Papell,15
Akademiks,16
Albert Nipon,17
Alberto Makali,18
Alex Evenings,19
Alfani,20
Amalfi by Rangoni,22
Ambiance,24
American Rag,25
Amici Accessories,26
Andrew Marc,28
Angels,29
Ann Taylor,30
Anne Klein,31
Anolon,33
Arche,36
Ariat,38
Arturo Chiang,39
Athena Alexander,41
Atlantic,42
August Silk,44
Avanti,46
BC Footwear,49
BCBGMAXAZRIA,51
BCBGirls,52
Baby Deer,55
Baby Einstein,56
Baby Gear,57
Baby-G,59
Badger Basket,60
Bailey 44,61
Bali,63
Baltic Linens,64
Bandolino,65
Barbie,66
Barely There,67
Barse,69
Ben Sherman,72
Berek,73
Betsey Johnson,75
Betsy & Adam,76
Big Chill,78
Black Rivet,79
Block,81
Blondo,82
Blue Cult,83
Blue Marlin,84
Bonnie Baby,86
Bonnie Jean,87
Brahmin,90
Buffalo David Bitton,92
Bulova,93
CHF,95
Cable & Gauge,98
Cachet,99
Calphalon,102
Calvin Klein,103
Calvin Klein Jeans,104
Canon,106
Carlos by Carlos Santana,107
Carmen Marc Valvo,108
Carolee,109
Carter's,110
Caslon,111
Charisma,114
Charles David,115
Charter Club,119
Chicco,122
China Doll,123
Chinese Laundry,124
Christopher Blue,127
Circa Joan & David,128
Circulon,129
Citizen,130
Citizens of Humanity,131
City Triangles,133
Claiborne,135
Clarks,136
Classiques Entier,137
Club Room,138
Coconuts by Matisse,141
Cole Haan,142
Converse,144
Coogi,145
Cosabella,146
Couristan,148
Creativity For Kids,150
Cubavera,151
Curio,152
Cynthia Steffe,155
DKNY,156
Dana Buchman,163
Daniel Green,164
Dansk,165
Danskin,166
Dansko,167
David Kahn,168
Delsey,169
Denby,170
Diane von Furstenberg,171
Diesel,172
Disney,173
Dockers,174
Donald J Pliner,175
Donald Trump,176
Donna Morgan,177
Donna Ricco,178
Dooney & Bourke,179
Dr. Martens,180
ESQ,181
Easy Spirit,183
Ecco,184
Echo,185
Edun,189
Eight Sixty,191
Eileen Fisher,192
Eileen West,193
Ella Moss,194
Ellen Tracy,195
Emilio Pucci,197
Energie,198
Enyce,200
Enzo,201
Enzo Angiolini,202
Esprit,203
Evan Picone,205
Excalibur,206
Eyeshadow,209
Fantasie,211
Felina,214
Fiesta,215
Fila,216
Fire,217
First Impressions,218
Fossil,222
Foxcroft,223
Francesco Biasia,224
Franco Sarto,225
Free People,226
French Connection,227
Frenchi,228
Frye,230
Furla,231
Garmin,235
Geoffrey Beene,236
Geox,237
Gibson,239
Glam,242
Gold Toe,244
Gottex,245
Graco,246
Haier,250
Hale Bob,251
Halogen,252
Hanky Panky,253
Hard Tail,254
Hazel,255
High Sierra,257
Hilary Radley,258
Homedics,262
Honora,263
Hotel Collection,265
Hue,266
HUGO BOSS,267
Hush Puppies,268
Hydraulic,269
Hype,270
INC International Concepts,273
International Silver,278
Irregular Choice,280
It's Our Time,282
Izod,283
J.Crew,284
JLO by Jennifer Lopez,286
JS Boutique,287
