name,id
Nordstrom,1
Macy's,2
Target,3
Ann Taylor,4
J.Crew,5
Neiman Marcus,6
Saks Fifth Avenue,7
Bloomingdale's,8
Barneys New York,9
Bergdorf Goodman,10
Dillard's,11
Gap,13
Talbots,16
Eddie Bauer,17
shopbop.com,21
Anthropologie,22
Intermix,23
yoox.com,25
French Connection,26
NET-A-PORTER.COM,27
Urban Outfitters,29
Free People,31
Bebe,32
GUESS,35
Forever 21,36
Victoria's Secret,38
LOFT,39
Aeropostale,40
American Eagle,41
Tilly's,43
DKNY,46
Coach,47
Kenneth Cole,48
White House Black Market,50
Chico's,51
Ralph Lauren,52
Zappos,53
Banana Republic,54
Ice.com,55
New York & Co.,59
Brooks Brothers,60
Old Navy,61
Max Studio,62
Famous Footwear,63
Sephora,64
Buckle,65
Ron Herman,68
CoutureCandy,70
Nine West,78
A Pea in the Pod,80
Motherhood,82
eDressMe,83
DVF.com,84
Children's Place,86
Johnston & Murphy,87
Footcandy,88
Pink Mascara,91
Oscar de la Renta,92
La Garçonne,94
Elizabeth Charles,99
Forzieri,100
Ulta,101
REVOLVE,105
Puma,106
Asos,108
Fossil,110
Nike,111
Avon,113
Marciano,117
PacSun,120
Michael Kors,130
Beauty.com,132
Kohl's,133
Steve Madden,138
Crate & Barrel,141
Horchow,142
Pottery Barn,143
Pottery Barn Kids,144
PBteen,145
west elm,148
Williams-Sonoma,149
JCPenney,150
CB2,152
Design Within Reach,154
Mikasa,157
Sur La Table,159
Bed Bath & Beyond,161
2Modern,162
drugstore.com,163
Gaiam,165
Giggle.com,177
The Land of Nod,181
The Body Shop,182
Clinique,183
Kiehl's,184
Origins,187
Prescriptives,188
Sally Beauty,189
SpaceNK,190
Smallflower,192
7 For All Mankind,193
MANGO,205
Karen Millen,210
Shu Uemura,224
Giorgio Armani Beauty,232
Coggles.com,244
Ylang 23,247
Boden,250
Soma Intimates,252
Isabella Oliver,282
Burberry,285
Tory Burch,299
Walgreens,302
SSENSE,306
James Perse,308
Express,309
Swarovski,314
Home Depot,317
STYLEBOP.com,322
Betsey Johnson,324
Marissa Collections,326
DERMAdoctor,333
Benefit,336
Boutique to You,337
L'Occitane,338
Agent Provocateur,341
Farfetch,344
BCBGMAXAZRIA,357
Bliss,358
Smashbox,362
Calvin Klein,364
Kirna Zabete,369
Charles Tyrwhitt,375
Thomas Pink,378
Alloy Apparel,383
Bare Necessities,390
Zappos Luxury,391
Topman,408
Splendid,410
Ella Moss,412
Lord & Taylor,413
True Religion,421
The Outnet,427
Diesel,433
Juicy Couture,434
mytheresa,435
Natori,449
Athleta,457
Kate Spade,467
UGG Australia,470
Yumi Kim,478
Diani Boutique,482
Topshop,483
Zoe,492
Alexander McQueen,494
OTTE,540
Paige Denim,552
Loeffler Randall,554
White + Warren,556
Ben Sherman,571
Lab Series,572
Bobbi Brown,573
Forward By Elyse Walker,574
Fat Face,577
Yves Saint Laurent,580
Savannahs,585
The Limited,586
John Varvatos,591
Hanna Andersson,595
Mackage,596
Lilly Pulitzer,597
NARS Cosmetics,613
Reebok,617
Lucy,631
Blue & Cream,643
Planet Blue,644
ModCloth,666
Sorel,684
Ethan Allen,708
Rebecca Minkoff,717
Footnotesonline,718
Madewell,720
Milly,721
Charm & Chain,722
Theory,736
Petit Bateau,737
Last Call by Neiman Marcus,750
Dooney & Bourke,759
Rag & Bone,760
Trina Turk,777
HUGO BOSS,788
Proenza Schouler,789
J Brand,791
AllSaints,801
AG Jeans,805
RONROBINSON.com,807
Hudson,808
Vince Camuto,832
Reiss,846
Serena and Lily,855
TOMS Shoes,857
alice + olivia,864
La Perla,865
Buffalo David Bitton,894
MR PORTER,895
Stuart Weitzman,913
The Trend Boutique,917
6pm.com,920
eBay,921
HSN,922
Overstock,924
QVC,925
Avenue,928
DERMSTORE,953
diapers.com,955
Dockers,957
shoes.com,963
Shoebuy,964
Finish Line,970
HauteLook,978
Home Decorators Collection,980
Lands' End,990
Levi's,992
LUISAVIAROMA,994
Nautica,999
Patagonia,1006
ShoeMall,1016
Sierra Trading Post,1018
SKECHERS,1019
Under Armour,1034
Vans,1035
Zales,1039
Nancy Meyer,1054
John Hardy,1057
Need Supply Co.,1058
Tibi,1060
Carter's,1066
OshKosh B'Gosh,1078
SwimSpot,1084
Brahmin,1087
Alexander Wang,1103
Original Penguin,1107
CUBAVERA,1125
Perry Ellis,1128
BaubleBar,1138
Amara,1222
House of Harlow,1236
Marc Jacobs,1246
AlexandAlexa,1262
Stride Rite,1272
Club Monaco,1276
Disney Store,1302
Gucci,1340
Elie Tahari,1355
MATCHESFASHION.COM,1375
METROPARK,1376
shoptiques.com,1378
MODA OPERANDI,1402
Nasty Gal,1426
Dorothy Perkins,1465
Gilt,1467
Steven Alan,1470
armani.com,1479
Helmut Lang,1480
Little Circus,1481
Wallis,1511
J.Crew Factory,1512
Zadig & Voltaire,1523
Henri Bendel,1531
Rebecca Taylor,1534
Warby Parker,1536
Barneys Warehouse,1538
Gorjana,1539
NYDJ,1542
One Kings Lane,1543
Vera Bradley,1545
Zobha,1546
Cosabella,1551
stella & dot,1563
Sole Society,1585
Joie,1586
Kule,1588
CASA.com,1605
Rachel Pally,1619
Belstaff,1632
Cynthia Rowley,1639
Everlane,1652
Stellamccartney.com,1658
Avenue32,1659
Alex and Ani,1681
H&M,1689
Uniqlo,1690
East Dane,1691
Wayfair,1695
Kelly Wearstler,1696
Lululemon,1697
Mark & Graham,1707
Off 5th,1720
aerie,1731
BooHoo,1745
Belle & Clive,1751
Editorialist,1759
Menlook,1767
Terrain,1777
JackThreads,1785
BALENCIAGA,1787
BHLDN,1798
Cost Plus World Market,1807
The Dreslyn,1809
Jimmy Choo,1810
Zulily,1837
Century 21,1839
River Island,1841
Missguided,1852
Nordstrom Rack,1853
Ily Couture,1855
Lane Crawford,1857
Of A Kind,1861
TheRealReal,1862
Moschino,1865
