sku_id,brand,name,image_1,image_2,price,apparel,occasion,dress_code,url,,,,,,,,,,
1,BCBG,MAURICE SLIM-LEG PINTUCKED TROUSER,BCBG01.jpg,BCBG02.jpg,198,pant,day to day,"biz casual, smart casual",http://www.bcbg.com/en/maurice-slim-leg-pintucked-trouser/DVB2G038-221.html?dwvar_DVB2G038-221_color=221,,,,,,,,,,
2,BCBG,KURRA SLIM-LEG TROUSER,BCBG03.jpg,BCBG04.jpg,138,pant,day to day,"biz casual, smart casual",http://www.bcbg.com/en/kurra-slim-leg-trouser/RND2F934-001.html?dwvar_RND2F934-001_color=001#q=trousers&start=1,,,,,,,,,,
4,BCBG,JAYMES PEPLUM MOTO JACKET,BCBG07.jpg,BCBG08.jpg,228,blazer,"client meeting, big presentation","biz formal, biz casual",http://www.bcbg.com/en/jaymes-peplum-moto-jacket/XMM4I734-001.html?dwvar_XMM4I734-001_color=001,,,,,,,,,,
5,BCBG,ARELIA A-LINE COAT,BCBG09.jpg,BCBG10.jpg,298,coat,"interview, client meeting, big presentation",biz formal,http://www.bcbg.com/en/arelia-a-line-coat/AUU4E367-001.html?dwvar_AUU4E367-001_color=001,,,,,,,,,,
6,BCBG,ADELE FLORAL PRINT WRAP DRESS,BCBG11.jpg,BCBG12.jpg,198,dress,"first day, client meeting, big presentation, day to day","biz casual, smart casual",http://www.bcbg.com/en/adele-floral-print-wrap-dress/ZJF66H37-H66.html?dwvar_ZJF66H37-H66_color=H66,,,,,,,,,,
7,BCBG,ADELE TRIANGLE PRINT WRAP DRESS,BCBG13.jpg,BCBG14.jpg,198,dress,"first day, client meeting, big presentation, day to day","biz casual, smart casual",http://shop.nordstrom.com/s/bcbgmaxazria-adele-jersey-wrap-dress/4265360?origin=related-4265360--4-ZERO-Rich_Relevance_Recs_API-98&recs_type=related&recs_productId=4265360&recs_categoryId=&recs_productOrder=4&recs_placementId=ZERO&recs_source=Rich_Relevance_Recs_API&recs_strategy=98&recs_referringPageType=search_page,,,,,,,,,,
8,BCBG,PENCIL SKIRT,BCBG15.jpg,BCBG16.jpg,178,skirt,"day to day, happy hour",biz casual,http://www.bcbg.com/en/pencil-skirt/LHL3C615-S0O.html?dwvar_LHL3C615-S0O_color=S0O,,,,,,,,,,
9,BCBG,FOIL PRINT POWER SKIRT,BCBG17.jpg,BCBG18.jpg,198,skirt,"day to day, happy hour",biz casual,http://www.bcbg.com/en/foil-print-power-skirt/LHG3F826-O0C.html?dwvar_LHG3F826-O0C_color=O0C,,,,,,,,,,
10,Zara,TUBE SKIRT,Z01.jpg,Z02.jpg,49,skirt,"day to day, happy hour",biz casual,http://www.zara.com/us/en/woman/skirts/view-all/tube-skirt-c719016p3245222.html,,,,,,,,,,
11,Zara,LONG CASHMERE SKIRT,Z03.jpg,Z04.jpg,129,skirt,"day to day, happy hour, casual friday",smart casual,http://www.zara.com/us/en/woman/skirts/view-all/long-cashmere-skirt-c719016p3221516.html,,,,,,,,,,
12,Zara,TUBE DRESS WITH PIPING,Z05.jpg,Z06.jpg,69.9,dress,"client meeting, day to day, big presentation",biz casual,http://www.zara.com/us/en/woman/wear-to-work/tube-dress-with-piping-c810001p3226087.html,,,,,,,,,,
13,Zara,GREY BLAZER,Z07.jpg,Z08.jpg,99.9,blazer,"first day, client meeting, big presentation",biz formal,http://www.zara.com/us/en/woman/blazers/grey-blazer-c797504p3275552.html,,,,,,,,,,
14,Zara,JACKET WITH BUTTON,Z09.jpg,Z10.jpg,129,blazer,"first day, client meeting, big presentation",biz formal,http://www.zara.com/us/en/woman/blazers/jacket-with-button-c797504p3219091.html,,,,,,,,,,
15,Zara,CHINOS,Z11.jpg,Z12.jpg,49.9,pant,"casual friday, day to day","biz casual, smart casual",http://www.zara.com/us/en/woman/wear-to-work/chinos-c810001p3256173.html,,,,,,,,,,
16,Zara,SHORT BLAZER,Z11.jpg,Z12.jpg,99.9,blazer,"first day, client meeting, big presentation",biz formal,http://www.zara.com/us/en/woman/wear-to-work/short-blazer-c810001p3289649.html,,,,,,,,,,
17,Zara,CASUAL SHIRT,Z13.jpg,Z14.jpg,39.9,blouse,"day to day, casual friday","biz casual, smart casual",http://www.zara.com/us/en/woman/tops/view-all/casual-shirt-c719021p3250082.html,,,,,,,,,,
18,Zara,BOAT NECK BLOUSE,Z15.jpg,Z16.jpg,49.9,blouse,"day to day, casual friday","biz casual, smart casual",http://www.zara.com/us/en/woman/tops/view-all/boat-neck-blouse-c719021p3302513.html,,,,,,,,,,
19,Zara,PLEATED YOKE SHIRT,Z17.jpg,Z18.jpg,35.9,blouse,"day to day, casual friday","biz casual, smart casual",http://www.zara.com/us/en/woman/tops/view-all/pleated-yoke-shirt-c719021p3239156.html,,,,,,,,,,
20,Zara,STRIPED POPLIN SHIRT,Z19.jpg,Z20.jpg,29.9,blouse,"day to day, casual friday","biz casual, smart casual",http://www.zara.com/us/en/woman/tops/view-all/striped-poplin-shirt-c719021p3239112.html,,,,,,,,,,
21,Zara,CONTRAST TOP,Z21.jpg,Z22.jpg,39.9,top,"day to day, casual friday","smart casual, biz casual, tech casual",http://www.zara.com/us/en/woman/tops/view-all/contrast-top-c719021p3292618.html,,,,,,,,,,
22,Zara,CONTRAST POPLIN TOP,Z23.jpg,Z24.jpg,39.9,top,"day to day, casual friday","smart casual, biz casual, tech casual",http://www.zara.com/us/en/woman/tops/view-all/contrast-poplin-top-c719021p3213666.html,,,,,,,,,,
23,Banana Republic,NEW SLOAN-FIT SLIM ANKLE PANT,BR13.jpg,BR14.jpg,88,pant,"casual friday, day to day","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=1050458&vid=1&pid=183602012,,,,,,,,,,
24,Banana Republic,SLOAN-FIT CROSSOVER PENCIL SKIRT,BR15.jpg,BR16.jpg,88,skirt,"day to day, happy hour",biz casual,http://bananarepublic.gap.com/browse/product.do?cid=1050458&vid=1&pid=186463012,,,,,,,,,,
25,Banana Republic,RYAN-FIT BLACK SLIM-STRAIGHT PANT,BR17.jpg,BR18.jpg,88,pant,"casual friday, day to day","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=1050458&vid=1&pid=175335012,,,,,,,,,,
